,Reference, Quantity, Value, Manufacturer_Name, Manufacturer_Part_Number, Footprint, URL, Digikey Part Number,Digikey BOM import,
Alternator Excite,D1,1,Diode - General purpose,Vishay,1N914TAP,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://www.digikey.com.au/product-detail/en/vishay-general-semiconductor-diodes-division/1N914TAP/1N914TAPGICT-ND/8564478,1N914TAPGICT-ND,"6,1N914TAPGICT-ND",
,"LED1,LED2,3,4,5,6",6,RED 5MM,,,,,160-1701-ND,,
,R1,1,50Ω 5W,,,,,25J50RE-ND,,
,R2,1,500Ω 0.5W,,,,,CMF500HY-ND,,
Connector,J1,,,,,,https://www.molex.com/molex/products/part-detail/pcb_headers/0348300801,,,
Arduino,U1,,,,,,,,,
Voltage Reg,U3,1,,,IC REGULATOR LDO LM2940-5.0 1A TO220,,,LM2940T-5.0/NOPB,,
,U2,1,SURGE ABSORBER 14MM 22V 1000A ZNR,,,,,F6389-ND,,Ordered Alternate Part F6414-ND
,"C1,C3",,0.1uF 50V,,C322C104K5R5TA,,,399-4329-ND,,
,C2,,10uF 30V,,T356G106K035AT,,,399-3654-ND,,Alternate PN 399-11372-1-ND‎
,C4,,47uF 10V,,TAP476K006CCS,,,478-4180-ND,,
,D2,,,,MBR150G,,,MBR150GOS-ND,,
,D3,,,,1N5919BG,,,1N5919BGOS-ND,,
Gauges,"S1,S2,S3,S4,S5",,,,X27.168,,,,,
,"U4, U5",,,,AX1201728SG,,,,,
,"F1,F2",,,,,,,36-4527-ND,,
,Fuse 2A (12v),,,,,,https://www.digikey.com/en/products/detail/bel-fuse-inc/5MF-2-R/1009036,507-1264-ND,,
,Fuse 1A (5v),,,,,,https://www.digikey.com/en/products/detail/bel-fuse-inc/5MF-1-R/1009033,507-1261-ND,,
,"R3,4,5,6,7",,500Ω 0.25W,,CFM14JT220R,,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM14JT220R/1742139,S220QCT-ND,,
,U6,,,,,,https://www.adafruit.com/product/1002,,,
Chassis Connector,Connector,33472-4806,,,,,,,,
,Pin,33012-2003,,,,,,,,